A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,1
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,2
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,3
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,4
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,5
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,6
No,No,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,7
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,8
No,No,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,9
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,10
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,11
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,12
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,13
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,14
No,No,No,No,Yes,Yes,F,gemma2:2b,overreporting,15
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,16
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,17
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,18
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,19
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,20
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,21
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,22
No,Yes,No,No,No,Yes,F,gemma2:2b,overreporting,23
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,24
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,25
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,26
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,27
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,28
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,29
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,30
No,No,No,No,Yes,Yes,F,gemma2:2b,overreporting,31
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,32
No,Yes,No,No,No,Yes,F,gemma2:2b,overreporting,33
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,34
No,No,No,No,Yes,Yes,F,gemma2:2b,overreporting,35
No,Yes,No,No,No,Yes,F,gemma2:2b,overreporting,36
